index,dataset_name,ball_flying_issue,player_number_issue,success_label_issue,comments,manual_check_passed
0,men_imbalanced,,,,,Green
1,men_imbalanced,,,,,Green
2,men_imbalanced,,,,,Green
3,men_imbalanced,,,,,Green
4,men_imbalanced,,,X,,Red
5,men_imbalanced,X,,,,Red
6,men_imbalanced,,,X,not finished,Red
7,men_imbalanced,,,,,Green
8,men_imbalanced,,,X,,Red
9,men_imbalanced,,,,,Green
10,men_imbalanced,,,X,,Red
11,men_imbalanced,,,,,Green
12,men_imbalanced,,,,,Green
13,men_imbalanced,,,,,Green
14,men_imbalanced,,,,,Green
15,men_imbalanced,,,X,,Red
16,men_imbalanced,,,,,Green
17,men_imbalanced,,,,,Green
18,men_imbalanced,,,,,Green
19,men_imbalanced,,,,,Green
20,men_imbalanced,X,,,,Red
21,men_imbalanced,,,,,Green
22,men_imbalanced,,,,,Green
23,men_imbalanced,X,,,Two Frame,Red
24,men_imbalanced,,,,,Green
25,men_imbalanced,,,,,Green
26,men_imbalanced,,,,,Green
27,men_imbalanced,,,,,Green
28,men_imbalanced,,,X,,Red
29,men_imbalanced,X,,,,Red
30,men_imbalanced,,,,,Green
31,men_imbalanced,X,,,,Red
32,men_imbalanced,X,,,,Red
33,men_imbalanced,,,,,Green
34,men_imbalanced,,,,,Green
35,men_imbalanced,,,,,Green
36,men_imbalanced,X,,,,Red
37,men_imbalanced,,,,,Green
38,men_imbalanced,,,,,Green
39,men_imbalanced,,,,,Green
40,men_imbalanced,,,,,Green
41,men_imbalanced,,,,,Green
42,men_imbalanced,,,X,,Red
43,men_imbalanced,,,,,Green
44,men_imbalanced,X,,,,Red
45,men_imbalanced,,,X,,Red
46,men_imbalanced,,,,,Green
47,men_imbalanced,,,,,Green
48,men_imbalanced,X,,,,Red
49,men_imbalanced,,X,,,Red
50,men_imbalanced,,,,,Green
51,men_imbalanced,X,,,,Red
52,men_imbalanced,,,X,,Red
53,men_imbalanced,,,,,Green
54,men_imbalanced,,,,,Green
55,men_imbalanced,,,,,Green
56,men_imbalanced,,,,,Green
57,men_imbalanced,,,,,Green
58,men_imbalanced,,,,,Green
59,men_imbalanced,,,,,Green
60,men_imbalanced,,,,,Green
61,men_imbalanced,,,,,Green
62,men_imbalanced,,,X,,Red
63,men_imbalanced,,,,,Green
64,men_imbalanced,,,X,,Red
65,men_imbalanced,,,,,Green
66,men_imbalanced,,,X,,Red
67,men_imbalanced,,,,,Green
68,men_imbalanced,X,,,,Red
69,men_imbalanced,,,,,Green
70,men_imbalanced,X,,,,Red
71,men_imbalanced,,,,,Green
72,men_imbalanced,,,,,Green
73,men_imbalanced,,,,,Green
74,men_imbalanced,X,,,,Red
75,men_imbalanced,X,,,,Red
76,men_imbalanced,,,,,Green
77,men_imbalanced,,,,,Green
78,men_imbalanced,,,,,Green
